State,City,Order Date,Restaurant Name,Location,Category,Dish Name,Price (INR),Rating,Rating Count
Karnataka,Bengaluru,10-06-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Baby Corn Masala,221,4,0
Karnataka,Bengaluru,23-07-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Panneer Mutter,221,4,0
Karnataka,Bengaluru,27-02-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Aloo Palak,221,4,0
Karnataka,Bengaluru,22-01-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Aloo Mutter,195,4,0
Karnataka,Bengaluru,24-08-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Mutter Masala,208,4,0
Karnataka,Bengaluru,30-03-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Gobi Masla,195,4,0
Karnataka,Bengaluru,18-02-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Dal Palak,195,2,9
Karnataka,Bengaluru,07-08-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Plain Palak,195,4,0
Karnataka,Bengaluru,28-02-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Dal Fry,182,4.3,68
Karnataka,Bengaluru,19-06-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Dal Punjabi,195,3.2,16
Karnataka,Bengaluru,08-08-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Aloo Gobi Masala,195,4,19
Karnataka,Bengaluru,07-07-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Gravy,Aloo Jeera Dry,169,4,0
Karnataka,Bengaluru,27-07-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Rice,Veg Biriyani,195,4.2,22
Karnataka,Bengaluru,15-01-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Rice,Dal Kichdi,221,4.6,18
Karnataka,Bengaluru,09-07-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Rice,Mughlai Biriyani,247,4.7,9
Karnataka,Bengaluru,09-07-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Rice,Palak Rice,221,4.9,27
Karnataka,Bengaluru,24-06-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Rice,Veg Handi Biriyani,247,4,0
Karnataka,Bengaluru,09-07-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Rice,Mushroom Biriyani,247,4.9,6
Karnataka,Bengaluru,20-02-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Rice,Hyderabadhi Biriyani,247,4.7,3
Karnataka,Bengaluru,18-04-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Rice,Kashmiri Biriyani ( Sweet Rice),260,4,0
Karnataka,Bengaluru,24-02-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Rice,Veg Pulav,195,4.2,2
Karnataka,Bengaluru,05-03-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Rice,Palak Kichdi,221,4,0
Karnataka,Bengaluru,11-05-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Rice,Peas Biriyani,208,4,0
Karnataka,Bengaluru,17-08-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Rice,Peas Pulav,195,4,0
Karnataka,Bengaluru,20-02-2025,Srinidhi Sagar Deluxe,Kengeri,North Indian Rice,Basmathi Rice,130,4,0
Karnataka,Bengaluru,15-05-2025,Srinidhi Sagar Deluxe,Kengeri,Manchurian & Chilly,Panneer Manchurian,247,4,0
Karnataka,Bengaluru,21-01-2025,Srinidhi Sagar Deluxe,Kengeri,Manchurian & Chilly,Panner Pepper Dry,260,5,3
Karnataka,Bengaluru,14-03-2025,Srinidhi Sagar Deluxe,Kengeri,Manchurian & Chilly,Gobi Chilly,195,3.6,5
Karnataka,Bengaluru,16-06-2025,Srinidhi Sagar Deluxe,Kengeri,Manchurian & Chilly,Paneer Chilly,260,4.4,4
Karnataka,Bengaluru,18-01-2025,Srinidhi Sagar Deluxe,Kengeri,Manchurian & Chilly,Panner 65,260,4,0
Karnataka,Bengaluru,12-05-2025,Srinidhi Sagar Deluxe,Kengeri,Manchurian & Chilly,Veg Ball Manchurian,247,4.7,17
Karnataka,Bengaluru,30-03-2025,Srinidhi Sagar Deluxe,Kengeri,Manchurian & Chilly,Mushroom Pepper Dry,228,2.6,45
Karnataka,Bengaluru,01-03-2025,Srinidhi Sagar Deluxe,Kengeri,Manchurian & Chilly,Mushroom Manchurian,208,4.1,49
Karnataka,Bengaluru,14-01-2025,Srinidhi Sagar Deluxe,Kengeri,Manchurian & Chilly,Spanish Manchurian,247,4,0
Karnataka,Bengaluru,30-08-2025,Srinidhi Sagar Deluxe,Kengeri,Manchurian & Chilly,Gobi Manchoorian,182,4.3,4
Karnataka,Bengaluru,09-01-2025,Srinidhi Sagar Deluxe,Kengeri,Manchurian & Chilly,Baby Corn Manchurian,202,4.4,92
Karnataka,Bengaluru,31-03-2025,Srinidhi Sagar Deluxe,Kengeri,Manchurian & Chilly,Finger Chips,156,4.3,53
Karnataka,Bengaluru,22-02-2025,Srinidhi Sagar Deluxe,Kengeri,Manchurian & Chilly,Mushroom Chilly,221,4,0
Karnataka,Bengaluru,10-05-2025,Srinidhi Sagar Deluxe,Kengeri,Manchurian & Chilly,Baby Corn Pepper Dry,208,4.4,61
Karnataka,Bengaluru,25-03-2025,Srinidhi Sagar Deluxe,Kengeri,Manchurian & Chilly,Baby Corn Chilly,208,4.1,2
Karnataka,Bengaluru,02-04-2025,Srinidhi Sagar Deluxe,Kengeri,Manchurian & Chilly,Gobi 65,195,3.6,43
Karnataka,Bengaluru,21-04-2025,Srinidhi Sagar Deluxe,Kengeri,South Indian Dishes,Poori Sagu,104,4.5,226
Karnataka,Bengaluru,07-07-2025,Srinidhi Sagar Deluxe,Kengeri,South Indian Dishes,Idly,65,4.5,69
Karnataka,Bengaluru,18-07-2025,Srinidhi Sagar Deluxe,Kengeri,South Indian Dishes,Idly Vada,117,4.7,57
Karnataka,Bengaluru,21-06-2025,Srinidhi Sagar Deluxe,Kengeri,South Indian Dishes,Vada,59,4.3,282
Karnataka,Bengaluru,08-01-2025,Srinidhi Sagar Deluxe,Kengeri,South Indian Dishes,Chow Chow Bath,117,4.7,48
Karnataka,Bengaluru,24-06-2025,Srinidhi Sagar Deluxe,Kengeri,South Indian Dishes,Rava Idly,78,4.2,16
Karnataka,Bengaluru,04-02-2025,Srinidhi Sagar Deluxe,Kengeri,South Indian Dishes,Rice Bath Of The Day,85,4.6,109
Karnataka,Bengaluru,25-07-2025,Srinidhi Sagar Deluxe,Kengeri,South Indian Dishes,Khara Bath,65,4.8,43
Karnataka,Bengaluru,22-03-2025,Srinidhi Sagar Deluxe,Kengeri,South Indian Dishes,Single Idly Vada,91,4.8,12
Karnataka,Bengaluru,13-06-2025,Srinidhi Sagar Deluxe,Kengeri,South Indian Dishes,Kesari Bath,65,4.6,65
Karnataka,Bengaluru,19-02-2025,Srinidhi Sagar Deluxe,Kengeri,South Indian Dishes,Curd Rice,91,4.6,213
Karnataka,Bengaluru,14-04-2025,Srinidhi Sagar Deluxe,Kengeri,Chinese Rice,Veg Fried Rice,195,4.5,194
Karnataka,Bengaluru,12-05-2025,Srinidhi Sagar Deluxe,Kengeri,Chinese Rice,Panneer Fried Rice,221,3,4
Karnataka,Bengaluru,02-01-2025,Srinidhi Sagar Deluxe,Kengeri,Chinese Rice,Jeera Rice,182,4.8,94
Karnataka,Bengaluru,14-05-2025,Srinidhi Sagar Deluxe,Kengeri,Chinese Rice,Singapore Fried Rice,221,4,0
Karnataka,Bengaluru,23-02-2025,Srinidhi Sagar Deluxe,Kengeri,Chinese Rice,Ghee Rice,182,4.9,39
Karnataka,Bengaluru,16-04-2025,Srinidhi Sagar Deluxe,Kengeri,Chinese Rice,Mushroom Fried Rice,208,4.8,45
Karnataka,Bengaluru,04-01-2025,Srinidhi Sagar Deluxe,Kengeri,Chinese Rice,Shezwan Fried Rice,208,4,0
Karnataka,Bengaluru,23-02-2025,Srinidhi Sagar Deluxe,Kengeri,Chinese Rice,Veg Manchow Fried Rice,208,4,0
Karnataka,Bengaluru,09-08-2025,Srinidhi Sagar Deluxe,Kengeri,Chinese Rice,Veg Ginger Fried Rice,208,4,0
Karnataka,Bengaluru,10-07-2025,Srinidhi Sagar Deluxe,Kengeri,Tandoori Breads,Butter Roti,59,4.4,141
Karnataka,Bengaluru,26-05-2025,Srinidhi Sagar Deluxe,Kengeri,Tandoori Breads,Roti,52,4.4,266
Karnataka,Bengaluru,06-08-2025,Srinidhi Sagar Deluxe,Kengeri,Tandoori Breads,Garlic Naan,98,4,34
Karnataka,Bengaluru,13-02-2025,Srinidhi Sagar Deluxe,Kengeri,Tandoori Breads,Naan,72,5,3
Karnataka,Bengaluru,11-06-2025,Srinidhi Sagar Deluxe,Kengeri,Tandoori Breads,Channa Bathura,169,4,0
Karnataka,Bengaluru,21-07-2025,Srinidhi Sagar Deluxe,Kengeri,Tandoori Breads,Butter Kulcha,72,4.4,126
Karnataka,Bengaluru,09-07-2025,Srinidhi Sagar Deluxe,Kengeri,Tandoori Breads,Butter Naan,91,4.1,158
Karnataka,Bengaluru,16-08-2025,Srinidhi Sagar Deluxe,Kengeri,Tandoori Breads,Aloo Parrota,104,4,0
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
